street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg),USPS_ID,UPS_ID,Amazon_ID,FedEx_ID
119,"Alisal Court, Santa Monica, CA90402",34.0406633,-118.509218,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,1,9,10,12
120,"Alisal Lane, Santa Monica, CA90402",34.0402818,-118.5095849,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,1,9,10,12
121,"Alta Avenue, Santa Monica, CA90402",34.0247671,-118.5089937,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
122,"Amalfi Court, Santa Monica, CA90402",34.0330676,-118.5116388,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
123,"Amalfi Drive, Santa Monica, CA90402",34.0323474,-118.5132699,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
124,"Appian Way, Santa Monica, CA90401",34.0075098,-118.4924572,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
125,"Arcadia Terrace, Santa Monica, CA90401",34.0083927,-118.4934689,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
126,"Arizona Avenue, Santa Monica, CA90401",34.0171162,-118.4972486,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
127,"Arizona Avenue, Santa Monica, CA90404",34.0265309,-118.4857078,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,3,9,10,12
128,"Arizona Place, Santa Monica, CA90404",34.0194805,-118.495358,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-4,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,4,9,10,11
129,"Ashland Avenue, Santa Monica, CA90405",34.0001965,-118.4814561,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,6,9,10,11
130,"Ashland Pl N, Santa Monica, CA90405",34.0052557,-118.4732608,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,6,9,10,14
131,"Ashland Place, Santa Monica, CA90405",34.0001965,-118.4814561,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,6,9,10,11
132,"Attilla Road, Santa Monica, CA90402",34.0379788,-118.5169135,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
133,"Barnard Way, Santa Monica, CA90405",34.0016865,-118.4867156,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,6,9,10,11
134,"Bay Street, Santa Monica, CA90405",34.0135437,-118.4787339,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
135,"Beach Street, Santa Monica, CA90405",34.0022488,-118.4883355,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,6,9,10,11
136,"Bentley Court, Santa Monica, CA90405",34.0033673,-118.4727189,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,6,9,10,14
137,"Berkeley Street, Santa Monica, CA90403",34.032179,-118.4638579,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
138,"Berkeley Street, Santa Monica, CA90404",34.032179,-118.4638579,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
139,"Beverly Avenue, Santa Monica, CA90405",34.010893,-118.480957,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
140,"Bicknell Avenue, Santa Monica, CA90405",34.0046064,-118.4909489,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,6,9,10,11
141,"Brentwood Terrace, Santa Monica, CA90402",34.0465846,-118.4896548,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-2,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-13,3.996621848,2,9,10,13
142,"Broadway, Santa Monica, CA90401",34.016159,-118.4916379,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
143,"Broadway, Santa Monica, CA90404",34.0278368,-118.4768669,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
144,"Broadway Street, Santa Monica, CA90401",34.016159,-118.4916379,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
145,"Broadway Street, Santa Monica, CA90404",34.0278368,-118.4768669,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,3,9,10,14
146,"Brooktree Road, Santa Monica, CA90402",34.0405529,-118.5150756,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
147,"Bryn Mawr Avenue, Santa Monica, CA90405",34.0084754,-118.4655186,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-6,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,6,9,10,14
148,"California Avenue, Santa Monica, CA90403",34.0272259,-118.4910083,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-3,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,3,9,10,12
149,"California Incline, Santa Monica, CA90403",34.0194536,-118.5051072,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
150,"California Pl N, Santa Monica, CA90403",34.037415,-118.4793794,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-2,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-13,3.996621848,2,9,10,13
151,"Carlyle Avenue, Santa Monica, CA90402",34.046956,-118.4905744,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-2,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-13,3.996621848,2,9,10,13
152,"Cedar Street, Santa Monica, CA90405",34.010099,-118.4772463,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
